study_name,study_year,study,group,design,age,percent_males,trained_state,homol_heterol,fatigued_muscle,fatgued_limb,rel_load,abs_load,tul,sets_tul,setsXtul,rel_loadXsetsXtul,reps,sets_reps,setsXreps,rel_loadXsetsXreps,max_effort,tested_muscle,test_upper_lower,outcome_measure,outcome_type,IF_E_>75s,time_post_test,first_post,post_only,control_cond,m_preCON,m_postCON,sd_preCON,sd_postCON,niCON,m_preFAT,m_postFAT,sd_preFAT,sd_postFAT,niFAT,Notes
"Aboodarda et al., (2016)",2016,1,1,within,27,100,RA,homologous,Elbow Flexors,dominant,100,,100,2,200,20000,,,,,Y,Elbow Flexors,U,MVC (isometric),S,N,0,Y,N,Y,390.39,386.53,72.9,70.72,12,401.59,383.34,70.15,71.95,12,
"Aboodarda et al., (2016)",2016,1,1,within,27,100,RA,homologous,Elbow Flexors,dominant,100,,100,2,200,20000,,,,,Y,Elbow Flexors,U,MVC (isometric),S,N,30,N,N,Y,390.39,368.08,72.9,62.34,12,401.59,375.5,70.15,68.59,12,
"Aboodarda et al., (2016)",2016,1,1,within,27,100,RA,homologous,Elbow Flexors,dominant,100,,100,2,200,20000,,,,,Y,Elbow Flexors,U,MVC (isometric),S,N,60,N,N,Y,390.39,355.78,72.9,47.35,12,401.59,367.45,70.15,66.18,12,
"Aboodarda et al., (2016)",2016,1,1,within,27,100,RA,homologous,Elbow Flexors,dominant,100,,100,2,200,20000,,,,,Y,Elbow Flexors,U,MVC (isometric),S,N,90,N,N,Y,390.39,344.57,72.9,52.86,12,401.59,361.82,70.15,66.27,12,
"Aboodarda et al., (2016)",2016,1,1,within,27,100,RA,homologous,Elbow Flexors,dominant,100,,100,2,200,20000,,,,,Y,Elbow Flexors,U,MVC (isometric),S,N,120,N,N,Y,390.39,343.78,72.9,72.35,12,401.59,359.94,70.15,65.63,12,
"Aboodarda et al., (2016)",2016,1,1,within,27,100,RA,homologous,Elbow Flexors,dominant,100,,100,2,200,20000,,,,,Y,Elbow Flexors,U,MVC (isometric),S,N,150,N,N,Y,390.39,345.85,72.9,44.95,12,401.59,351.76,70.15,66.67,12,
"Aboodarda et al., (2019)",2019,2,2,within,23.5,50,RA,homologous,Knee Extensors,non-dominant,100,,60,1,60,6000,,,,,Y,Knee Extensors,L,MVC (isometric),S,N,0,Y,N,Y,501.7,501.1,159.9,170.7,12,499.9,506.3,158.7,158.6,12,
"Aboodarda et al., (2020)",2020,3,3,within,27,100,RA,homologous,Leg (cycling),unspecified,80,,520,1,520,41600,,,,,Y,Knee Extensors,L,MVC (isometric),S,N,0,Y,N,N,,,,,,404.6,391.5,60.7,48.2,12,
Andrews et al. (2016),2016,4,4,within,21,57,T,homologous,Leg (split squat),dominant,60,,,,,,8,1,8,480,N,Leg,L,CMJ height,P,N,60,Y,N,Y,0.17,0.17,0.02,0.02,14,0.19,0.18,0.02,0.02,14,Relative load is the average of those used based upon number of repetitions performed at each load
Andrews et al. (2016),2016,4,4,within,21,57,T,homologous,Leg (split squat),dominant,60,,,,,,8,1,8,480,N,Leg,L,CMJ height,P,N,300,N,N,Y,0.17,0.17,0.02,0.02,14,0.19,0.18,0.02,0.02,14,
Andrews et al. (2016),2016,4,4,within,21,57,T,homologous,Leg (split squat),dominant,60,,,,,,8,1,8,480,N,Leg,L,CMJ height,P,N,600,N,N,Y,0.17,0.17,0.02,0.02,14,0.19,0.18,0.02,0.02,14,
"Arora et al., (2015)",2015,5,5,within,24.9,100,T,homologous,Knee Extensors,dominant,30,,16,15,240,7200,,,,,N,Knee Extensors,L,MVC (isometric),S,N,0,Y,N,N,,,,,,642.7,603.55,180.86,176.67,16,
"Arora et al., (2015)",2015,5,5,within,24.9,100,T,homologous,Knee Extensors,dominant,30,,16,15,240,7200,,,,,N,Knee Extensors,L,MVC (isometric),S,N,600,N,N,N,,,,,,642.7,625.09,180.86,144.98,16,
"Arora et al., (2015)",2015,5,5,within,24.9,100,T,homologous,Knee Extensors,dominant,30,,16,15,240,7200,,,,,N,Knee Extensors,L,MVC (F100),S,N,0,Y,N,N,,,,,,170.57,177.36,119.5,129.64,16,
"Arora et al., (2015)",2015,5,5,within,24.9,100,T,homologous,Knee Extensors,dominant,30,,16,15,240,7200,,,,,N,Knee Extensors,L,MVC (F100),S,N,600,N,N,N,,,,,,170.57,178.58,119.5,111.49,16,
"Behm et al., (2019) - Main effect",2019,6,6,between,23.4,100,RA,homologous,Knee Extensors,dominant,100,,100,2,200,20000,,,,,Y,Knee Extensors,L,MVC (isometric),S,N,0,Y,N,Y,677.6,640.3,169.4,160.1,20,591.9,551.1,186.7,176.6,12,
"Behm et al., (2019) - Main effect",2019,6,6,between,23.4,100,RA,homologous,Knee Extensors,dominant,100,,100,2,200,20000,,,,,Y,Knee Extensors,L,MVC (F100),S,N,0,Y,N,Y,229.5,196.7,57.3,49,20,290.6,258.7,108.9,106.1,12,
"Behm et al., (2019) - Control",2019,6,6,between,23.4,100,RA,homologous,Knee Extensors,dominant,100,,100,2,200,20000,,,,,Y,Knee Extensors,L,30% Baseline MVC to Task Failure (post only),E,Y,0,Y,Y,Y,,122.4,,43.8,20,,144,,45,12,
"Behm et al., (2019) - Sham",2019,6,6,between,23.4,100,RA,homologous,Knee Extensors,dominant,100,,100,2,200,20000,,,,,Y,Knee Extensors,L,30% Baseline MVC to Task Failure (post only),E,Y,0,Y,Y,Y,,108,,37.2,20,,138,,35.4,12,
"Behm et al., (2019) - TENS",2019,6,6,between,23.4,100,RA,homologous,Knee Extensors,dominant,100,,100,2,200,20000,,,,,Y,Knee Extensors,L,30% Baseline MVC to Task Failure (post only),E,Y,0,Y,Y,Y,,130.2,,50.4,20,,156,,36.6,12,
"Ben Othman et al., (2017) - Isokinetic",2017,7,7,between,11.3,100,T,homologous,Knee Extensors (isokinetic),dominant,100,,60,1,60,6000,,,,,Y,Knee Extensors,L,MVC (isometric - 90 degrees),S,N,300,N,N,Y,115.8,116.6,35.2,33.6,15,120.6,105.4,35.83,33.65,12,
"Ben Othman et al., (2017) - Isokinetic",2017,7,7,between,11.3,100,T,homologous,Knee Extensors (isokinetic),dominant,100,,60,1,60,6000,,,,,Y,Knee Extensors,,MVC (isometric - 120 degrees),S,N,300,N,N,Y,101.5,98.2,43.4,47.8,15,88.6,88,23.4,25.5,12,
"Ben Othman et al., (2017) - Isokinetic",2017,7,7,between,11.3,100,T,homologous,Knee Extensors (isokinetic),dominant,100,,60,1,60,6000,,,,,Y,Knee Extensors,L,MVC (isokinetic - 120 degrees/second),S,N,300,N,N,Y,47.9,45.1,11.9,14.9,15,45.07,44.47,8.11,7.86,12,Note - time of post testing is mid point
"Ben Othman et al., (2017) - Isokinetic",2017,7,7,between,11.3,100,T,homologous,Knee Extensors (isokinetic),dominant,100,,60,1,60,6000,,,,,Y,Knee Extensors,L,MVC (isokinetic - 90 degrees/second),S,N,300,N,N,Y,47.5,47.4,10.5,12.1,15,48.4,42.33,12.07,8.26,12,
"Ben Othman et al., (2017) - Isokinetic",2017,7,7,between,11.3,100,T,homologous,Knee Extensors (isokinetic),dominant,100,,60,1,60,6000,,,,,Y,Knee Flexors,L,Hamstring Torque,S,N,300,N,N,Y,25.9,22.8,6.6,9,15,24.07,25.47,8.1,7.9,12,
"Ben Othman et al., (2017) - Isokinetic",2017,7,7,between,11.3,100,T,homologous,Knee Extensors (isokinetic),dominant,100,,60,1,60,6000,,,,,Y,Knee Extensors,L,CMJ height,P,N,300,N,N,Y,11.5,11.3,2.6,2.8,15,11.43,9.75,3.08,2.82,12,
"Ben Othman et al., (2017) - Isokinetic",2017,7,7,between,11.3,100,T,homologous,Knee Extensors (isokinetic),dominant,100,,60,1,60,6000,,,,,Y,Elbow Flexors,U,MVC (isometric),S,N,300,N,N,Y,119.1,112.9,11.7,14.8,15,120.26,109.64,18.55,13.7,12,
"Ben Othman et al., (2017) - Isokinetic",2017,7,7,between,11.3,100,T,homologous,Knee Extensors (isokinetic),dominant,100,,60,1,60,6000,,,,,Y,Handgrip,U,MVC (isometric),S,N,300,N,N,Y,20.3,19.1,5,4.9,15,20.82,18.72,4.8,4.1,12,
"Ben Othman et al., (2017) - Isometric",2017,7,8,between,11.3,100,T,homologous,Knee Extensors (isometric),dominant,100,,60,1,60,6000,,,,,Y,Knee Extensors,L,MVC (isometric - 90 degrees),S,N,300,N,N,Y,115.8,116.6,35.2,33.6,15,122.2,115.6,31.6,24.6,15,
"Ben Othman et al., (2017) - Isometric",2017,7,8,between,11.3,100,T,homologous,Knee Extensors (isometric),dominant,100,,60,1,60,6000,,,,,Y,Knee Extensors,,MVC (isometric - 120 degrees),S,N,300,N,N,Y,101.5,98.2,43.4,47.8,15,94.5,91.8,27.3,17.14,15,
"Ben Othman et al., (2017) - Isometric",2017,7,8,between,11.3,100,T,homologous,Knee Extensors (isometric),dominant,100,,60,1,60,6000,,,,,Y,Knee Extensors,L,MVC (isokinetic - 120 degrees/second),S,N,300,N,N,Y,47.9,45.1,11.9,14.9,15,47.8,43.9,9.2,11,15,
"Ben Othman et al., (2017) - Isometric",2017,7,8,between,11.3,100,T,homologous,Knee Extensors (isometric),dominant,100,,60,1,60,6000,,,,,Y,Knee Extensors,L,MVC (isokinetic - 90 degrees/second),S,N,300,N,N,Y,47.5,47.4,10.5,12.1,15,50.6,45.3,11.7,10.7,15,
"Ben Othman et al., (2017) - Isometric",2017,7,8,between,11.3,100,T,homologous,Knee Extensors (isometric),dominant,100,,60,1,60,6000,,,,,Y,Knee Flexors,L,Hamstring Torque,S,N,300,N,N,Y,25.9,22.8,6.6,9,15,25.27,22.53,7.36,8.1,15,
"Ben Othman et al., (2017) - Isometric",2017,7,8,between,11.3,100,T,homologous,Knee Extensors (isometric),dominant,100,,60,1,60,6000,,,,,Y,Knee Extensors,L,CMJ height,P,N,300,N,N,Y,11.5,11.3,2.6,2.8,15,10.32,9.48,3.75,2.7,15,
"Ben Othman et al., (2017) - Isometric",2017,7,8,between,11.3,100,T,homologous,Knee Extensors (isometric),dominant,100,,60,1,60,6000,,,,,Y,Elbow Flexors,U,MVC (isometric),S,N,300,N,N,Y,119.1,112.9,11.7,14.8,15,137.9,128.6,16.4,20.4,15,
"Ben Othman et al., (2017) - Isometric",2017,7,8,between,11.3,100,T,homologous,Knee Extensors (isometric),dominant,100,,60,1,60,6000,,,,,Y,Handgrip,U,MVC (isometric),S,N,300,N,N,Y,20.3,19.1,5,4.9,15,21.4,20.4,3.95,3.78,15,
"Doix et al., (2013)",2013,8,9,within,21.7,100,RA,homologous,Knee Extensors,randomised,100,,100,1,100,10000,,,,,Y,Knee Extensors,L,MVC (isometric),S,N,25,Y,N,N,,,,,,225.43,213.39,41.15,35.66,15,
"Doix et al., (2013)",2013,8,9,within,21.7,100,RA,homologous,Knee Extensors,randomised,100,,100,2,200,20000,,,,,Y,Knee Extensors,L,MVC (isometric),S,N,25,Y,N,N,,,,,,225.43,200.37,41.15,39.99,15,
"Doix et al., (2018) - Males",2018,9,10,within,26.5,100,RA,homologous,Knee Extensors,strongest,100,,30,1,30,3000,,,,,Y,Knee Extensors,L,MVC (isometric),S,N,60,Y,N,N,,,,,,2945.11,2954.65,673.03,658.71,9,
"Doix et al., (2018) - Females",2018,9,11,within,23.8,0,RA,homologous,Knee Extensors,strongest,100,,30,1,30,3000,,,,,Y,Knee Extensors,L,MVC (isometric),S,N,60,Y,N,N,,,,,,1875.89,1823.39,459.1,490.77,11,
"Elmer et al., (2012)",2012,10,12,within,26,100,T,homologous,Leg (cycling),left,32,,600,1,600,19200,,,,,Y,Leg,L,Max power (cycle),P,N,30,Y,N,N,,,,,,596,597,121.24,107.39,12,Webplot digitizer used to determined what average power of time trial was relative to max
"Elmer et al., (2012)",2012,10,12,within,26,100,T,homologous,Leg (cycling),left,32,,600,1,600,19200,,,,,Y,Leg,L,Max power (cycle),P,N,180,N,N,N,,,,,,596,603,121.24,110.85,12,
"Elmer et al., (2012)",2012,10,12,within,26,100,T,homologous,Leg (cycling),left,32,,600,1,600,19200,,,,,Y,Leg,L,Max power (cycle),P,N,300,N,N,N,,,,,,596,597,121.24,93.53,12,
"Elmer et al., (2012)",2012,10,12,within,26,100,T,homologous,Leg (cycling),left,32,,600,1,600,19200,,,,,Y,Leg,L,Max power (cycle),P,N,600,N,N,N,,,,,,596,596,121.24,107.39,12,
"Elmer et al., (2012)",2012,10,12,within,26,100,T,homologous,Leg (cycling),left,32,,600,1,600,19200,,,,,Y,Leg,L,Max torque (cycle),P,N,30,Y,N,N,,,,,,99,97,17.32,13.86,12,
"Elmer et al., (2012)",2012,10,12,within,26,100,T,homologous,Leg (cycling),left,32,,600,1,600,19200,,,,,Y,Leg,L,Max torque (cycle),P,N,180,N,N,N,,,,,,99,97,17.32,13.86,12,
"Elmer et al., (2012)",2012,10,12,within,26,100,T,homologous,Leg (cycling),left,32,,600,1,600,19200,,,,,Y,Leg,L,Max torque (cycle),P,N,300,N,N,N,,,,,,99,94,17.32,13.86,12,
"Elmer et al., (2012)",2012,10,12,within,26,100,T,homologous,Leg (cycling),left,32,,600,1,600,19200,,,,,Y,Leg,L,Max torque (cycle),P,N,600,N,N,N,,,,,,99,95,17.32,13.86,12,
"Farrow et al., (2020)",2020,11,13,within,24.8,100,T,homologous,Knee Extensors,dominant,40,,163,1,163,6520,27.2,1,27.2,1088,Y,Knee Extensors,L,MVC (isometric),S,N,0,Y,N,N,,,,,,19230,17572,4952,3369,11,
"Farrow et al., (2020)",2020,11,13,within,24.8,100,T,homologous,Knee Extensors,dominant,40,,163,1,163,6520,27.2,1,27.2,1088,Y,Knee Extensors,L,MVC (isometric),S,N,86400,N,N,N,,,,,,19230,17764,4952,4481,11,
"Farrow et al., (2020)",2020,11,13,within,24.8,100,T,homologous,Knee Extensors,dominant,40,,163,1,163,6520,27.2,1,27.2,1088,Y,Knee Extensors,L,MVC (isometric),S,N,172800,N,N,N,,,,,,19230,18338,4952,4711,11,
"Farrow et al., (2020)",2020,11,13,within,24.8,100,T,heterologous,Knee Extensors,dominant,40,,163,1,163,6520,27.2,1,27.2,1088,Y,Handgrip (right),U,MVC (isometric),S,N,0,Y,N,N,,,,,,48.8,48.5,5.4,5.6,11,
"Farrow et al., (2020)",2020,11,13,within,24.8,100,T,heterologous,Knee Extensors,dominant,40,,163,1,163,6520,27.2,1,27.2,1088,Y,Handgrip (right),U,MVC (isometric),S,N,86400,N,N,N,,,,,,48.8,49.3,5.4,6.3,11,
